300002,-39,0,0,A
300001,-15,-2,0,A
300001,-15,-1,0,A
300000,-6,-1,0,A
300000,-33,-3,0,A
300000,-6,-1,0,A
300000,-27,-2,0,A
300001,-45,-3,0,A
300000,-45,-3,0,A
300000,-18,-2,0,A
300000,-21,-3,0,A
300000,-54,-1,0,A
300000,0,-1,-8,A
300000,-18,-1,0,A
300000,-18,-1,0,A
300000,-54,-2,0,A
300000,-51,-2,0,A
300000,-48,-4,0,A
300000,-9,-2,0,A
300000,-27,-3,0,A
300000,-15,-1,0,A
300000,-39,-4,0,A
300000,-9,-1,0,A
300000,-57,-3,0,A
300000,-12,-1,-1,A
300000,-45,-1,0,A
300000,-39,-3,0,A
300000,-6,-1,0,A
300000,-27,-3,0,A
300000,-9,-2,-91,A
300000,-51,-3,0,A
300000,-48,-4,0,A
300000,-33,-2,0,A
300000,-15,0,0,A
300000,-39,-3,0,A
300000,-15,-2,0,A
300000,-30,-1,0,A
300000,-39,-2,0,A
300000,-15,-1,0,A
300000,-21,-1,0,A
300000,-42,-1,0,A
300000,-42,-2,0,A
300000,-30,-2,0,A
300000,0,-1,0,A
300000,-15,-2,0,A
300000,-48,-1,0,A
300000,-45,-3,0,A
300000,-18,-2,0,A
300000,-54,-2,0,A
300000,-57,-2,0,A
300000,-6,-1,0,A
300000,-54,-2,0,A
300000,-15,-1,0,A
300000,-54,-3,0,A
300000,-36,-1,0,A
300000,-33,-2,-1,A
300000,-24,-1,0,A
300000,-48,-4,-174,A
300000,-48,-4,-447,A
300000,-57,-3,0,A
300000,-9,0,-1,A
300000,-48,-3,0,A
300000,-27,-1,0,A
300000,-54,-4,0,A
300000,-24,-1,0,A
300000,-57,-3,0,A
300000,-42,-3,0,A
300000,-54,-3,0,A
300000,-39,-1,0,A
300000,-21,0,0,A
300000,-51,-2,0,A
300000,-33,-2,0,A
300000,-15,-2,0,A
300000,-6,0,-1,A
300000,-51,-3,0,A
300000,-33,-1,0,A
300000,-27,-1,-16,A
300000,-18,-2,0,A
300000,-12,-1,0,A
300000,-6,-1,0,A
300000,-48,0,0,A
300000,-30,-1,0,A
300000,-24,-4,-332,A
300000,-54,-3,0,A
300000,-45,-1,0,A
300000,-39,-3,0,A
300000,-33,-2,0,A
300000,-48,0,0,A
300000,-60,-3,0,A
300000,-9,-2,0,A
300000,-45,-2,0,A
300000,-33,-1,0,A
300000,0,-1,-721,A
300000,-36,-2,0,A
300000,-12,-1,0,A
300000,-18,-1,0,A
300000,-54,-2,0,A
300000,-9,-2,-26,A
300000,-12,-1,0,A
300000,-6,-2,0,A
300000,-45,-2,0,A
300000,-45,-5,0,A
300001,-18,-1,0,A
300000,-3,0,0,A
300000,-33,-4,0,A
300000,-45,-5,-838,A
300000,-36,-3,0,A
300000,-21,0,0,A
300000,-18,0,0,A
300000,-24,-2,0,A
300000,-24,-3,0,A
300000,-39,-2,0,A
300000,-54,-2,0,A
300000,-21,-1,0,A
300000,-45,-3,0,A
300000,-57,-2,0,A
300000,-51,-4,0,A
300000,-6,0,0,A
300000,-42,-3,0,A
300000,-54,-2,0,A
300000,-57,-2,0,A
300000,-57,-3,0,A
300000,-30,-1,0,A
300000,-45,-2,0,A
300000,-57,-1,0,A
300000,-60,-3,0,A
300000,-54,-2,0,A
300000,-42,-1,0,A
300000,-42,-1,0,A
300000,-27,-2,0,A
300000,-24,-1,0,A
300000,-24,-1,0,A
300000,-33,-1,0,A
300000,-24,-2,0,A
300000,-54,-5,0,A
300000,-6,-1,-1,A
300000,-9,-2,-368,A
300000,-6,-1,0,A
300000,-57,-2,0,A
300000,-15,-4,-370,A
300000,-27,-2,0,A
300000,-33,-3,0,A
300000,-33,0,0,A
300000,-30,0,0,A
300000,-15,-1,0,A
300000,-57,-3,0,A
300000,-45,-4,0,A
300000,-45,-5,0,A
300000,-27,-4,-1,A
300000,-21,-1,-326,A
300000,-21,0,0,A
300000,-48,-3,0,A
300000,-57,-1,0,A
300000,-39,-2,0,A
300000,-45,-2,0,A
300000,-54,-4,0,A
300000,-9,-1,0,A
300000,-27,-3,0,A
300000,-45,-1,0,A
300000,-60,-2,0,A
300000,-42,-4,-149,A
300000,-48,-1,0,A
300000,-48,-3,0,A
300000,-6,0,0,A
300000,-48,-4,0,A
300000,-6,-1,0,A
300000,-9,-1,0,A
300000,-39,-1,0,A
300000,-36,-2,0,A
300000,-36,-3,0,A
300000,-21,-1,0,A
300000,-51,-2,0,A
300000,-42,-1,0,A
300000,-27,-2,0,A
300000,-42,-2,0,A
300000,-51,-5,0,A
300000,-27,-2,0,A
300000,-48,-7,-484,A
300000,-57,-2,0,A
300000,-33,-2,0,A
300000,-48,-3,0,A
300000,-48,-3,0,A
300000,-33,-3,0,A
300000,-36,-2,0,A
300000,-42,0,0,A
300000,-6,0,-1,A
300000,-27,-4,0,A
